agent,task_id,workspace_exists,workspace_path,transcript_exists,transcript_path,score_present,status,grading_type
Codex,task_csv_life_exp_change,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_life_exp_change,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_life_exp_change,True,success,hybrid
Codex,task_csv_gdp_ranking,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_gdp_ranking,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_gdp_ranking,True,success,hybrid
Codex,task_csv_gdp_per_capita,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_gdp_per_capita,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_gdp_per_capita,True,success,hybrid
Codex,task_csv_gdp_regions,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_gdp_regions,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_gdp_regions,True,error,hybrid
Codex,task_csv_stations_by_elevation,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_stations_by_elevation,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_stations_by_elevation,True,success,hybrid
Codex,task_csv_stations_coverage,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_stations_coverage,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_stations_coverage,True,success,hybrid
Codex,task_csv_stations_filter,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_stations_filter,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_stations_filter,True,success,hybrid
Codex,task_csv_iris_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_iris_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_iris_summary,True,success,hybrid
Codex,task_csv_iris_classify,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_iris_classify,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_iris_classify,True,error,hybrid
Codex,task_csv_iris_outliers,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_iris_outliers,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_iris_outliers,True,success,hybrid
Codex,task_csv_cities_ranking,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_cities_ranking,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_cities_ranking,True,success,hybrid
Codex,task_csv_cities_filter,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_cities_filter,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_cities_filter,True,success,hybrid
Codex,task_csv_cities_density,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_cities_density,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_cities_density,True,success,hybrid
Codex,task_csv_cities_growth,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_cities_growth,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_cities_growth,True,success,hybrid
Codex,task_csv_pension_ranking,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_pension_ranking,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_pension_ranking,True,success,hybrid
Codex,task_csv_pension_liability,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_pension_liability,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_pension_liability,True,success,hybrid
Codex,task_csv_pension_risk,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_csv_pension_risk,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_csv_pension_risk,True,error,hybrid
Codex,task_log_apache_client_issues,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_apache_client_issues,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_apache_client_issues,True,success,hybrid
Codex,task_log_apache_top_errors,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_apache_top_errors,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_apache_top_errors,True,success,hybrid
Codex,task_log_apache_error_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_apache_error_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_apache_error_summary,True,success,hybrid
Codex,task_log_apache_critical,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_apache_critical,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_apache_critical,True,error,hybrid
Codex,task_log_apache_timeline,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_apache_timeline,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_apache_timeline,True,success,hybrid
Codex,task_log_syslog_boot,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_syslog_boot,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_syslog_boot,True,error,hybrid
Codex,task_log_nginx_status_codes,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_nginx_status_codes,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_nginx_status_codes,True,success,hybrid
Codex,task_log_nginx_traffic,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_nginx_traffic,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_nginx_traffic,True,success,hybrid
Codex,task_log_nginx_slow_requests,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_nginx_slow_requests,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_nginx_slow_requests,True,success,hybrid
Codex,task_log_nginx_user_agents,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_nginx_user_agents,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_nginx_user_agents,True,success,hybrid
Codex,task_log_nginx_errors,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_nginx_errors,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_nginx_errors,True,success,hybrid
Codex,task_log_ssh_failed_logins,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_ssh_failed_logins,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_ssh_failed_logins,True,success,hybrid
Codex,task_log_ssh_brute_force,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_ssh_brute_force,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_ssh_brute_force,True,success,hybrid
Codex,task_log_ssh_successful,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_ssh_successful,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_ssh_successful,True,success,hybrid
Codex,task_log_ssh_user_activity,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_ssh_user_activity,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_ssh_user_activity,True,success,hybrid
Codex,task_log_ssh_unusual_times,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_ssh_unusual_times,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_ssh_unusual_times,True,success,hybrid
Codex,task_log_hdfs_failures,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_hdfs_failures,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_hdfs_failures,True,error,hybrid
Codex,task_log_hdfs_connections,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_hdfs_connections,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_hdfs_connections,True,success,hybrid
Codex,task_log_hdfs_slow_ops,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_hdfs_slow_ops,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_hdfs_slow_ops,True,error,hybrid
Codex,task_log_hdfs_block_ops,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_hdfs_block_ops,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_hdfs_block_ops,True,success,hybrid
Codex,task_log_hdfs_storage,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_hdfs_storage,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_hdfs_storage,True,success,hybrid
Codex,task_log_mapreduce_jobs,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_mapreduce_jobs,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_mapreduce_jobs,True,success,hybrid
Codex,task_log_mapreduce_failures,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_mapreduce_failures,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_mapreduce_failures,True,success,hybrid
Codex,task_log_mapreduce_slow_tasks,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_mapreduce_slow_tasks,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_mapreduce_slow_tasks,True,success,hybrid
Codex,task_log_mapreduce_resources,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_mapreduce_resources,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_mapreduce_resources,True,success,hybrid
Codex,task_log_mapreduce_timeline,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_mapreduce_timeline,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_mapreduce_timeline,True,success,hybrid
Codex,task_log_syslog_anomalies,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_syslog_anomalies,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_syslog_anomalies,True,success,hybrid
Codex,task_log_syslog_services,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_syslog_services,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_syslog_services,True,success,hybrid
Codex,task_log_syslog_cron,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_syslog_cron,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_syslog_cron,True,success,hybrid
Codex,task_log_syslog_auth_failures,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_log_syslog_auth_failures,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_log_syslog_auth_failures,True,error,hybrid
Codex,task_meeting_council_votes,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_council_votes,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_council_votes,True,success,hybrid
Codex,task_meeting_council_public_comment,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_council_public_comment,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_council_public_comment,True,success,hybrid
Codex,task_meeting_council_budget,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_council_budget,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_council_budget,True,success,hybrid
Codex,task_meeting_council_upcoming,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_council_upcoming,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_council_upcoming,True,success,hybrid
Codex,task_meeting_council_contact_info,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_council_contact_info,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_council_contact_info,True,success,hybrid
Codex,task_meeting_council_neighborhood,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_council_neighborhood,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_council_neighborhood,True,success,hybrid
Codex,task_meeting_tech_action_items,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_tech_action_items,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_tech_action_items,True,success,hybrid
Codex,task_meeting_tech_decisions,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_tech_decisions,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_tech_decisions,True,success,hybrid
Codex,task_meeting_tech_competitors,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_tech_competitors,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_tech_competitors,True,success,hybrid
Codex,task_meeting_tech_messaging,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_tech_messaging,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_tech_messaging,True,success,hybrid
Codex,task_meeting_tech_product_features,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_tech_product_features,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_tech_product_features,True,success,hybrid
Codex,task_meeting_advisory_attendees,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_advisory_attendees,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_advisory_attendees,True,success,hybrid
Codex,task_meeting_advisory_stakeholders,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_advisory_stakeholders,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_advisory_stakeholders,True,success,hybrid
Codex,task_meeting_advisory_technical,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_advisory_technical,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_advisory_technical,True,success,hybrid
Codex,task_meeting_advisory_timeline,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_advisory_timeline,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_advisory_timeline,True,success,hybrid
Codex,task_meeting_advisory_acronyms,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_advisory_acronyms,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_advisory_acronyms,True,success,hybrid
Codex,task_meeting_executive_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_executive_summary,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_executive_summary,True,success,hybrid
Codex,task_meeting_sentiment_analysis,True,C:\pinchbench-codex\runs\codex_20260727_174711\workspaces\task_meeting_sentiment_analysis,True,C:\pinchbench-codex\runs\codex_20260727_174711\transcripts\task_meeting_sentiment_analysis,True,success,hybrid
